tsne_1,tsne_2,class
-46.916496,-36.524803,SEKER
-57.920227,-21.64424,SEKER
-49.590168,-39.4073,SEKER
-54.447937,-14.671666,SEKER
-39.2203,-48.356194,SEKER
-50.34953,-38.64292,SEKER
-58.544113,-18.760574,SEKER
-47.74906,-38.709286,SEKER
-49.52615,-38.135944,SEKER
-27.663612,-55.077682,SEKER
-49.984306,-37.84967,SEKER
-52.51136,-37.86072,SEKER
-47.02091,-34.685715,SEKER
-55.631454,-43.419857,SEKER
-51.181847,-38.660305,SEKER
-47.91892,-37.87166,SEKER
-51.882042,-38.580738,SEKER
-48.051334,-37.57778,SEKER
-48.409924,-38.11355,SEKER
-27.101038,-53.520126,SEKER
-24.081364,-54.9165,SEKER
-34.607338,-48.778633,SEKER
-56.166664,-16.135214,SEKER
-19.974218,-10.346882,SEKER
-34.723537,10.992932,SEKER
-51.687332,-35.418987,SEKER
-57.554985,-27.211863,SEKER
-27.136578,-53.752117,SEKER
-52.083443,-39.364067,SEKER
-22.554464,-54.396526,SEKER
-51.238853,-35.344624,SEKER
-59.881092,-23.12567,SEKER
-57.67785,-41.048874,SEKER
-33.627457,-50.25453,SEKER
-35.047916,-49.11194,SEKER
-35.356495,-49.07986,SEKER
-54.983616,-35.891304,SEKER
-51.042778,-34.50157,SEKER
-5.7058063,-10.6719475,SEKER
-24.49519,-54.135098,SEKER
-51.914616,-37.624157,SEKER
-33.23484,-50.49995,SEKER
5.9470263,4.9833922,SEKER
-59.564857,-23.265827,SEKER
-26.95659,-52.012226,SEKER
-48.95842,-35.620235,SEKER
-49.38596,-37.029575,SEKER
-46.121735,-36.794937,SEKER
-59.26073,-23.215338,SEKER
-26.097998,-51.230114,SEKER
-50.93017,-38.364998,SEKER
-30.484013,-56.205036,SEKER
-51.82189,-43.85224,SEKER
-38.703182,-50.98958,SEKER
-52.8983,-42.549572,SEKER
-54.96182,-40.7057,SEKER
-58.878128,-21.667974,SEKER
-25.625336,-59.834084,SEKER
-48.558292,-38.04136,SEKER
-27.02554,-52.473133,SEKER
-32.00651,-55.887844,SEKER
-31.179277,-45.866943,SEKER
-54.57677,-42.967487,SEKER
-59.464603,-23.550627,SEKER
-30.176025,-56.569504,SEKER
-24.859959,-53.417732,SEKER
-58.36257,-37.64377,SEKER
-1.4795629,-14.256025,SEKER
-26.62363,-52.791157,SEKER
-31.082619,-55.797394,SEKER
-53.48404,-40.32881,SEKER
-51.27636,-35.13616,SEKER
-54.9644,-42.59532,SEKER
-33.90089,-49.98365,SEKER
-26.277214,-54.066063,SEKER
-25.062881,-67.27306,SEKER
-30.679747,-44.354755,SEKER
-55.03742,-43.924152,SEKER
-57.72386,-38.072853,SEKER
-45.829575,-35.422955,SEKER
-51.740677,-43.03819,SEKER
-30.70361,-56.994427,SEKER
-57.548073,-24.537624,SEKER
-31.207079,-47.383915,SEKER
-57.96091,-24.3455,SEKER
-52.75686,-32.317635,SEKER
-56.453705,-16.228783,SEKER
-58.60772,-22.376425,SEKER
-58.87857,-24.973866,SEKER
-56.638218,-40.829338,SEKER
-26.064754,-61.382694,SEKER
-31.062931,-47.01954,SEKER
-52.41712,-36.83851,SEKER
-24.742203,-66.114815,SEKER
-54.404167,-37.609077,SEKER
13.7800665,-59.47779,SEKER
-28.349691,-50.52157,SEKER
-51.961426,-35.019184,SEKER
-23.383581,-54.389545,SEKER
-23.870493,-51.526466,SEKER
-26.886108,-61.238194,SEKER
-61.76118,-23.935213,SEKER
-26.90153,-61.83464,SEKER
-28.91387,-55.988853,SEKER
-52.568176,-33.271355,SEKER
-18.704697,-62.134098,SEKER
-38.01592,-46.39551,SEKER
-56.920334,-9.117434,SEKER
-56.899994,-40.84737,SEKER
-57.090176,-42.13383,SEKER
-57.372917,-39.163788,SEKER
-25.222824,-61.866085,SEKER
-57.663498,-22.274658,SEKER
-19.824272,-62.0066,SEKER
-46.906574,-38.335926,SEKER
