tsne_1,tsne_2,class
-63.332645,44.440685,SEKER
-64.3944,57.920544,SEKER
-63.39334,44.65146,SEKER
-66.646645,60.156498,SEKER
-57.510986,55.230083,SEKER
-62.00504,46.218582,SEKER
-65.12084,58.27892,SEKER
-61.436283,44.978455,SEKER
-61.79449,45.93519,SEKER
-52.638496,33.38637,SEKER
-61.806488,46.1073,SEKER
-59.38873,53.58741,SEKER
-61.01,44.632122,SEKER
-62.04964,48.105217,SEKER
-60.17573,46.944763,SEKER
-60.603165,45.42573,SEKER
-62.05492,46.604122,SEKER
-61.23549,45.41974,SEKER
-60.256733,45.77044,SEKER
-53.87642,33.836243,SEKER
-53.96699,30.939674,SEKER
-55.31958,45.35009,SEKER
-65.82188,59.038433,SEKER
-55.892643,12.599074,SEKER
-56.76951,-11.494558,SEKER
-58.617004,54.88663,SEKER
-62.698597,53.67673,SEKER
-53.6578,33.67927,SEKER
-62.84398,46.91672,SEKER
-53.375748,30.424557,SEKER
-59.10941,54.358257,SEKER
-65.50702,54.82572,SEKER
-63.669094,47.445747,SEKER
-53.98541,43.224586,SEKER
-54.948856,45.900806,SEKER
-54.89295,46.078285,SEKER
-59.691456,54.678753,SEKER
-58.912334,55.037918,SEKER
-49.981895,7.4003143,SEKER
-53.644093,31.15822,SEKER
-59.74832,52.7123,SEKER
-53.83322,43.434868,SEKER
-46.53322,4.900878,SEKER
-65.405365,54.72663,SEKER
-54.48983,33.43935,SEKER
-60.5997,45.42556,SEKER
-62.11342,45.855556,SEKER
-60.984722,42.37721,SEKER
-65.06098,55.182137,SEKER
-55.250244,33.668785,SEKER
-61.545547,46.4745,SEKER
-51.79804,33.242504,SEKER
-59.35042,47.651474,SEKER
-57.93209,46.90242,SEKER
-61.425365,47.354412,SEKER
-61.922153,47.527378,SEKER
-64.88379,56.03827,SEKER
-47.065643,37.65021,SEKER
-60.429424,45.66103,SEKER
-54.13165,33.128635,SEKER
-52.30126,35.57185,SEKER
-58.362446,40.10077,SEKER
-61.214268,47.97851,SEKER
-65.264206,54.659283,SEKER
-51.18416,31.957438,SEKER
-54.135,32.311077,SEKER
-60.697437,54.17049,SEKER
-48.948067,4.7970114,SEKER
-54.11173,33.11527,SEKER
-52.327328,34.247555,SEKER
-56.929043,54.188107,SEKER
-58.32958,54.992752,SEKER
-61.5504,48.067726,SEKER
-53.969025,43.092167,SEKER
-53.571392,33.153286,SEKER
-49.31082,35.304382,SEKER
-58.328693,40.975754,SEKER
-60.422375,47.783855,SEKER
-60.677208,54.13511,SEKER
-60.003445,-4.8820267,SEKER
-58.7807,47.33683,SEKER
-50.996143,32.21746,SEKER
-63.686905,56.616047,SEKER
-54.203693,34.45399,SEKER
-64.08414,55.66949,SEKER
-51.51403,65.0165,SEKER
-65.74215,58.816628,SEKER
-64.75292,55.54796,SEKER
-64.24778,54.258205,SEKER
-62.260162,48.78132,SEKER
-47.4572,36.28081,SEKER
-58.14996,39.717976,SEKER
-59.089542,53.78466,SEKER
-47.55381,35.40373,SEKER
-60.80249,52.160534,SEKER
-41.281765,17.28636,SEKER
-53.116848,42.617023,SEKER
-58.882214,54.736893,SEKER
-54.026215,30.684048,SEKER
-56.663727,32.925663,SEKER
-47.38229,37.584576,SEKER
-56.2248,13.169698,SEKER
-47.363102,37.698402,SEKER
-51.518776,30.57949,SEKER
-51.446095,64.78832,SEKER
-43.28786,29.622057,SEKER
-55.777687,52.241302,SEKER
0.961075,56.36193,SEKER
-63.04366,47.542854,SEKER
-62.00789,49.24243,SEKER
-61.807724,50.22136,SEKER
-46.82809,36.245655,SEKER
-63.81053,57.611496,SEKER
-51.07738,29.805796,SEKER
-60.032803,43.50611,SEKER
-58.865494,47.50243,SEKER
-59.7296,45.64123,SEKER
-54.469425,46.170673,SEKER
-53.750015,42.202396,SEKER
-60.802986,41.7983,SEKER
-45.64575,31.563946,SEKER
-58.16203,53.48923,SEKER
-55.524372,40.088684,SEKER
-55.773666,40.291477,SEKER
-60.324055,44.090813,SEKER
-52.891964,45.574207,SEKER
-48.252422,37.122726,SEKER
-45.03675,32.993176,SEKER
-52.67038,45.83977,SEKER
-56.678604,32.94127,SEKER
-60.058537,45.347473,SEKER
-52.88692,54.92676,SEKER
-59.543198,41.410275,SEKER
-59.72761,45.179092,SEKER
-53.23696,44.418274,SEKER
-58.202118,40.68585,SEKER
-63.293705,59.74129,SEKER
-60.29478,52.270985,SEKER
-54.064095,54.379913,SEKER
-60.281002,45.36811,SEKER
-47.952614,37.966675,SEKER
-54.08877,30.748901,SEKER
-49.054287,32.840904,SEKER
-47.88865,42.89994,SEKER
-56.175873,53.782333,SEKER
-51.22305,33.5358,SEKER
-47.95482,43.156425,SEKER
-52.95341,44.81263,SEKER
-58.36062,43.097614,SEKER
-58.496944,53.53363,SEKER
-43.224995,29.482758,SEKER
-63.84862,56.13693,SEKER
-54.707157,46.574127,SEKER
-48.104248,32.055157,SEKER
-51.014393,35.98821,SEKER
-56.276264,45.20607,SEKER
-47.46043,33.39419,SEKER
-53.210903,31.291258,SEKER
-56.12115,13.09346,SEKER
-53.527393,31.858912,SEKER
-54.668995,46.51505,SEKER
-50.33781,31.503963,SEKER
-55.520214,53.852028,SEKER
-54.522648,46.22281,SEKER
-45.209938,33.579163,SEKER
-52.238674,34.023354,SEKER
-58.24299,40.138245,SEKER
-64.17263,53.69829,SEKER
-59.3247,36.918232,SEKER
-53.92331,53.997753,SEKER
-47.39108,33.488045,SEKER
-63.676517,52.962734,SEKER
-48.547443,35.262424,SEKER
-58.332474,54.554565,SEKER
-41.91967,29.795647,SEKER
-56.565243,46.454113,SEKER
-61.52851,43.05313,SEKER
-45.901463,39.204987,SEKER
-59.56725,53.12842,SEKER
-49.6404,44.4523,SEKER
-57.396072,41.105824,SEKER
-45.746315,39.027523,SEKER
-51.510044,32.512207,SEKER
-57.655113,53.184696,SEKER
-54.2117,30.651165,SEKER
-64.41369,55.41261,SEKER
-49.930714,37.26735,SEKER
-55.035404,46.652016,SEKER
-59.92394,46.255672,SEKER
-64.46703,55.47157,SEKER
-51.599297,35.3763,SEKER
-54.499153,54.500088,SEKER
-51.714157,38.00353,SEKER
-61.931076,48.73758,SEKER
-45.544018,34.464966,SEKER
-47.271954,34.60814,SEKER
-43.133286,29.046383,SEKER
-41.597214,11.794667,SEKER
-51.546757,35.49448,SEKER
-43.11635,31.970173,SEKER
-60.647896,46.431477,SEKER
-62.802032,48.696266,SEKER
-42.768272,30.696003,SEKER
-63.443962,57.020767,SEKER
-59.320778,41.999577,SEKER
-60.770252,41.576077,SEKER
-63.951717,55.68375,SEKER
-61.0864,49.30203,SEKER
-63.207767,48.34434,SEKER
-59.296955,55.716442,SEKER
-37.99156,16.624592,SEKER
-46.475567,35.732582,SEKER
-51.401955,42.579346,SEKER
-51.1539,8.066155,SEKER
-67.04365,58.802856,SEKER
-50.78002,34.109028,SEKER
-57.407166,20.82251,SEKER
-45.38103,34.671024,SEKER
-52.38739,44.971806,SEKER
-51.088768,35.71179,SEKER
-63.00557,59.691673,SEKER
-54.581333,30.23316,SEKER
-47.64402,42.097313,SEKER
-44.096333,32.257236,SEKER
-51.811783,36.308,SEKER
-62.86077,56.236923,SEKER
-60.964172,41.431942,SEKER
-57.7829,44.057922,SEKER
-57.32867,32.999165,SEKER
-59.03421,33.402145,SEKER
-57.37886,39.54501,SEKER
-54.0537,44.08701,SEKER
-55.53848,34.490627,SEKER
-56.99384,54.209866,SEKER
-53.800343,32.548813,SEKER
-52.76253,44.668728,SEKER
-45.786938,34.491177,SEKER
-64.32394,53.81176,SEKER
-54.23499,41.46264,SEKER
-47.243725,42.13818,SEKER
-55.26701,41.296993,SEKER
-50.40198,43.150272,SEKER
-45.57794,31.483465,SEKER
-52.632973,54.51799,SEKER
-55.084415,55.109734,SEKER
-61.550022,50.10662,SEKER
-61.086708,52.182755,SEKER
-58.70314,33.348907,SEKER
-61.22502,50.080933,SEKER
-54.83844,44.71092,SEKER
-58.27916,48.093784,SEKER
-62.946693,36.239456,SEKER
-63.271805,56.54997,SEKER
-61.55617,42.175114,SEKER
-42.414097,30.351295,SEKER
-52.33786,44.782368,SEKER
-47.4388,36.205177,SEKER
-51.061653,53.67453,SEKER
-60.923523,42.01236,SEKER
-50.48357,42.70361,SEKER
-57.419857,53.934734,SEKER
-54.041393,46.676895,SEKER
-57.796665,47.436516,SEKER
-62.93036,47.088478,SEKER
-55.82418,54.832947,SEKER
-48.54456,32.00261,SEKER
-47.307228,35.197277,SEKER
-55.024082,47.844723,SEKER
-55.13398,33.91768,SEKER
-56.287624,32.129116,SEKER
-53.483067,40.78934,SEKER
21.280363,-11.4908085,SEKER
-63.659206,54.936604,SEKER
-61.42263,49.234364,SEKER
-56.183155,31.438822,SEKER
-46.247078,36.227257,SEKER
-48.76014,33.362488,SEKER
-60.279545,26.082392,SEKER
8.151252,-15.418429,SEKER
-45.160793,32.69676,SEKER
-45.60377,35.185005,SEKER
