area,perimeter,majoraxislength,minoraxislength,aspectratio,eccentricity,convexarea,equivdiameter,extent,solidity,roundness,compactness,shapefactor1,shapefactor2,shapefactor3,shapefactor4,class
40596,735.327,255.3608196532,202.7558310205,1.2594499422,0.6079211322,41023,227.3509018193,0.7803921569,0.9895912049,0.9434786613,0.8903123906,0.0062902951,0.0024379256,0.7926561529,0.9983107459,SEKER
34060,662.146,220.4383774233,196.882203013,1.1196460322,0.4497799339,34367,208.2463418495,0.7890834955,0.991067012,0.9762183975,0.9446918648,0.0064720604,0.0031796772,0.8924427195,0.9992199499,SEKER
40566,737.031,268.8877130749,192.4178301164,1.3974157848,0.6985035086,40945,227.266881379,0.7883628731,0.9907436805,0.938427099,0.8452111061,0.006628401,0.0020866486,0.7143818138,0.998288423,SEKER
40587,746.02,262.9695840232,196.7418707473,1.3366223622,0.6635245914,41053,227.3256989479,0.7775287356,0.9886488198,0.9164227762,0.8644562442,0.006479158,0.0022318777,0.7472845982,0.9988373048,SEKER
40459,733.681,247.9781156096,208.0100794966,1.1921447086,0.5444021715,40874,226.9669551729,0.7826482252,0.9898468464,0.9445184889,0.915270102,0.0061291212,0.0026532311,0.8377193597,0.9986827019,SEKER
40533,755.94,252.9526239594,204.3172471798,1.2380385281,0.5895535342,41130,227.174423003,0.7672054815,0.9854850474,0.8913411568,0.8980907944,0.0062406588,0.0025043278,0.806567075,0.9985611144,SEKER
28395,610.291,208.1781167085,173.8887470416,1.1971914241,0.5498121871,28715,190.1410972745,0.7639225182,0.9888559986,0.9580271263,0.9133577548,0.0073315061,0.0031472892,0.8342223882,0.998723889,SEKER
40572,743.746,241.1378398048,214.7057228819,1.1231085812,0.4552065688,41068,227.2836879519,0.7589225589,0.98792247,0.9216944975,0.9425467531,0.0059434546,0.0028935455,0.8883943817,0.9977633536,SEKER
39430,755.532,236.7695238745,213.2600464939,1.1102385457,0.4344264028,40085,224.0621236374,0.7828072265,0.9836597231,0.8680223638,0.9463300849,0.0060048066,0.0029706356,0.8955406296,0.9942637263,SEKER
40150,722.163,251.2671836929,203.6652507455,1.2337263366,0.5856659463,40443,226.098579653,0.7658559847,0.9927552358,0.9674420195,0.8998333023,0.0062582113,0.0025309189,0.8096999719,0.99894818,SEKER
34523,673.987,231.9170486126,189.7341760282,1.2223261695,0.575058574,34878,209.6569789034,0.7858638743,0.9898216641,0.9550263462,0.9040171051,0.0067177548,0.0027676458,0.8172469263,0.9989423049,SEKER
40580,925.731,259.0915135273,200.5185354814,1.2921075496,0.6332719072,41753,227.3060947827,0.7512588863,0.9719062103,0.5950484007,0.8773197226,0.0063847095,0.0023332027,0.7696898957,0.9945221251,SEKER
34113,673.914,221.2423661982,196.5103818348,1.1258558664,0.4594315807,34492,208.4083025927,0.7746616405,0.9890119448,0.9438887745,0.9419909314,0.0064855734,0.0031500325,0.8873469148,0.9990247295,SEKER
40462,741.338,249.6428545839,206.6216739392,1.2082123323,0.5612164286,40933,226.975369719,0.7929061336,0.9884933916,0.9251766976,0.9092003458,0.0061698101,0.002600698,0.8266452688,0.9987630083,SEKER
39175,719.195,259.1594303656,192.8686345108,1.3437095722,0.6679474552,39457,223.3364259699,0.7563909484,0.9928529792,0.9517558399,0.8617723293,0.006615429,0.00225065,0.7426515476,0.9979079933,SEKER
40591,727.926,252.6683514822,204.964480459,1.2327421362,0.5847692826,40944,227.3369005691,0.7954340584,0.9913784682,0.9626427653,0.8997442665,0.0062247383,0.0025163857,0.8095397451,0.9979537547,SEKER
40422,726.959,259.1305336726,198.9789428644,1.3023012885,0.6406039425,40712,226.8631501088,0.782507695,0.9928767931,0.9611868631,0.8754782653,0.0064106312,0.0023230686,0.766462193,0.9981647016,SEKER
40409,734.88,246.3011391129,209.0904900569,1.1779643304,0.5285179283,40864,226.8266667815,0.7727863836,0.9888655051,0.9402754801,0.9209322685,0.006095205,0.0027044493,0.8481162432,0.9990506825,SEKER
39336,722.8,260.6452397975,192.3676738903,1.3549326377,0.6747525095,39664,223.7948854011,0.7758579882,0.9917305365,0.9461582304,0.8586187324,0.0066261247,0.0022214718,0.7372261276,0.9988917417,SEKER
40527,754.329,234.8360910974,220.4469239067,1.0652727057,0.3446622437,41159,227.157608346,0.7694513006,0.9846449136,0.8950199414,0.9673027995,0.005794559,0.0031293197,0.935674706,0.9967487257,SEKER
28734,638.018,200.5247956636,182.734419351,1.0973564607,0.4117852514,29172,191.2727504858,0.7839681327,0.9849856026,0.8870336366,0.9538608423,0.0069786593,0.0035636237,0.9098505064,0.9984303314,SEKER
40547,725.149,259.024363986,199.5921150375,1.2977685213,0.637375395,40819,227.2136523635,0.7619897767,0.9933364365,0.9689783781,0.8771902722,0.0063882498,0.0023331189,0.7694627737,0.998584566,SEKER
38195,719.457,243.2856909082,200.2120619518,1.2151400297,0.5681131958,38604,220.5252466525,0.7785364859,0.989405243,0.9272710339,0.9064456106,0.0063695691,0.0026525087,0.821643645,0.9984120832,SEKER
31158,642.626,216.4848362086,183.6443121561,1.1788267966,0.529514251,31492,199.1773022582,0.7987592289,0.9893941318,0.948119004,0.9200519803,0.0069479696,0.0030710517,0.8464956465,0.9978717512,SEKER
39454,717.993,255.6058624485,196.9123275259,1.2980693777,0.6375912429,39779,224.1303036137,0.7965677367,0.99182986,0.9617462109,0.8768590105,0.0064785792,0.0023625369,0.7688817242,0.9980618213,SEKER
